STNAM,FIPST,LEAID,ST_LEAID,LEANM,ST_SCHID,SCHNAM,ALL_RATE_1617
TEXAS,48,4840230,TX-100904,SILSBEE ISD,TX-100904-100904001,SILSBEE H S,GE95
TEXAS,48,4840290,TX-023902,SILVERTON ISD,TX-023902-023902001,SILVERTON SCHOOL,GE50
TEXAS,48,4840320,TX-019909,SIMMS ISD,TX-019909-019909001,JAMES BOWIE H S,GE90
TEXAS,48,4840350,TX-205906,SINTON ISD,TX-205906-205906001,SINTON H S,GE95
TEXAS,48,4840410,TX-013905,SKIDMORE-TYNAN ISD,TX-013905-013905001,SKIDMORE-TYNAN H S,GE90
TEXAS,48,4840440,TX-152903,SLATON ISD,TX-152903-152903001,SLATON H S,85-89
TEXAS,48,4840470,TX-249908,SLIDELL ISD,TX-249908-249908001,SLIDELL SCHOOLS,GE80
TEXAS,48,4840500,TX-001909,SLOCUM ISD,TX-001909-001909001,SLOCUM H S,GE80
TEXAS,48,4840550,TX-011904,SMITHVILLE ISD,TX-011904-011904002,SMITHVILLE H S,90-94
TEXAS,48,4840590,TX-110906,SMYER ISD,TX-110906-110906001,SMYER H S,GE80
TEXAS,48,4840620,TX-026903,SNOOK ISD,TX-026903-026903002,SNOOK SECONDARY,GE90
TEXAS,48,4840650,TX-208902,SNYDER ISD,TX-208902-208902001,SNYDER H S,85-89
TEXAS,48,4840680,TX-015908,SOUTH SAN ANTONIO ISD,TX-015908-015908001,SOUTH SAN ANTONIO H S,86
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909001,SOCORRO H S,85
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909002,MONTWOOD H S,93
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909004,AMERICAS H S,94
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909005,EL DORADO H S,94
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909007,MISSION EARLY COLLEGE H S,GE95
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909008,EASTLAKE H S,93
TEXAS,48,4840710,TX-071909,SOCORRO ISD,TX-071909-071909009,OPTIONS H S,40-49
TEXAS,48,4840740,TX-015909,SOMERSET ISD,TX-015909-015909001,SOMERSET H S,91
TEXAS,48,4840770,TX-026902,SOMERVILLE ISD,TX-026902-026902001,SOMERVILLE H S,GE80
TEXAS,48,4840800,TX-218901,SONORA ISD,TX-218901-218901001,SONORA H S,GE95
TEXAS,48,4840890,TX-085903,SOUTHLAND ISD,TX-085903-085903001,SOUTHLAND SCHOOL,GE80
TEXAS,48,4840920,TX-015917,SOUTHSIDE ISD,TX-015917-015917001,SOUTHSIDE H S,89
TEXAS,48,4840950,TX-015912,SOUTHWEST ISD,TX-015912-015912001,SOUTHWEST H S,98
TEXAS,48,4840950,TX-015912,SOUTHWEST ISD,TX-015912-015912011,SOUTHWEST ACADEMY,60-64
TEXAS,48,4841010,TX-098904,SPEARMAN ISD,TX-098904-098904001,SPEARMAN H S,GE90
TEXAS,48,4841070,TX-170907,SPLENDORA ISD,TX-170907-170907001,SPLENDORA H S,94
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920001,MEMORIAL H S,97
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920005,NORTHBROOK H S,83
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920003,SPRING WOODS H S,87
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920006,STRATFORD H S,93
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920014,WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES,GE95
TEXAS,48,4841100,TX-101920,SPRING BRANCH ISD,TX-101920-101920016,ACADEMY OF CHOICE,45-49
TEXAS,48,4841190,TX-092907,SPRING HILL ISD,TX-092907-092907001,SPRING HILL H S,GE95
TEXAS,48,4841220,TX-101919,SPRING ISD,TX-101919-101919001,SPRING H S,90
TEXAS,48,4841220,TX-101919,SPRING ISD,TX-101919-101919002,WESTFIELD H S,84
TEXAS,48,4841220,TX-101919,SPRING ISD,TX-101919-101919003,ANDY DEKANEY H S,77
TEXAS,48,4841220,TX-101919,SPRING ISD,TX-101919-101919021,SPRING EARLY COLLEGE ACADEMY,GE95
TEXAS,48,4841250,TX-140907,SPRINGLAKE-EARTH ISD,TX-140907-140907001,SPRINGLAKE-EARTH H S,GE80
TEXAS,48,4841280,TX-184902,SPRINGTOWN ISD,TX-184902-184902001,SPRINGTOWN H S,90
TEXAS,48,4841340,TX-229905,SPURGER ISD,TX-229905-229905001,SPURGER H S,GE80
TEXAS,48,4841350,TX-079910,STAFFORD MSD,TX-079910-079910001,STAFFORD H S,89
TEXAS,48,4841400,TX-127906,STAMFORD ISD,TX-127906-127906001,STAMFORD H S,GE90
TEXAS,48,4841430,TX-156902,STANTON ISD,TX-156902-156902001,STANTON H S,GE90
TEXAS,48,4841520,TX-072903,STEPHENVILLE ISD,TX-072903-072903001,STEPHENVILLE H S,GE99
TEXAS,48,4841550,TX-216901,STERLING CITY ISD,TX-216901-216901001,STERLING CITY H S,GE50
TEXAS,48,4841580,TX-117904,PLEMONS-STINNETT-PHILLIPS CISD,TX-117904-117904001,WEST TEXAS H S,GE90
TEXAS,48,4841610,TX-247906,STOCKDALE ISD,TX-247906-247906001,STOCKDALE H S,GE90
TEXAS,48,4841670,TX-211902,STRATFORD ISD,TX-211902-211902001,STRATFORD H S,GE80
TEXAS,48,4841700,TX-182905,STRAWN ISD,TX-182905-182905001,STRAWN SCHOOL,GE50
TEXAS,48,4841760,TX-140908,SUDAN ISD,TX-140908-140908001,SUDAN H S,GE90
TEXAS,48,4841790,TX-112910,SULPHUR BLUFF ISD,TX-112910-112910001,SULPHUR BLUFF ISD,GE50
TEXAS,48,4841820,TX-112901,SULPHUR SPRINGS ISD,TX-112901-112901002,SULPHUR SPRINGS H S,93
TEXAS,48,4841850,TX-110907,SUNDOWN ISD,TX-110907-110907001,SUNDOWN H S,GE90
TEXAS,48,4841850,TX-110907,SUNDOWN ISD,TX-110907-110907002,PEP ALTER SCHOOL,PS
TEXAS,48,4841880,TX-057919,SUNNYVALE ISD,TX-057919-057919001,SUNNYVALE H S,GE95
TEXAS,48,4841910,TX-171902,SUNRAY ISD,TX-171902-171902001,SUNRAY H S,GE90
TEXAS,48,4841970,TX-020906,SWEENY ISD,TX-020906-020906002,SWEENY H S,GE95
TEXAS,48,4842030,TX-177902,SWEETWATER ISD,TX-177902-177902001,SWEETWATER H S,GE95
TEXAS,48,4842030,TX-177902,SWEETWATER ISD,TX-177902-177902004,WALLACE ACCELERATED H S,60-79
TEXAS,48,4842060,TX-205907,TAFT ISD,TX-205907-205907001,TAFT H S,85-89
TEXAS,48,4842090,TX-153904,TAHOKA ISD,TX-153904-153904001,TAHOKA H S,GE90
TEXAS,48,4842120,TX-194903,RIVERCREST ISD,TX-194903-194903001,RIVERCREST H S,GE90
TEXAS,48,4842210,TX-146907,TARKINGTON ISD,TX-146907-146907001,TARKINGTON H S,GE95
TEXAS,48,4842240,TX-201910,TATUM ISD,TX-201910-201910002,TATUM H S,GE95
TEXAS,48,4842280,TX-246911,TAYLOR ISD,TX-246911-246911001,TAYLOR H S,92
TEXAS,48,4842300,TX-081904,TEAGUE ISD,TX-081904-081904001,TEAGUE H S,GE95
TEXAS,48,4842330,TX-014909,TEMPLE ISD,TX-014909-014909002,TEMPLE H S,90
TEXAS,48,4842330,TX-014909,TEMPLE ISD,TX-014909-014909008,FRED W EDWARDS ACADEMY AEC,65-69
TEXAS,48,4842360,TX-210904,TENAHA ISD,TX-210904-210904002,TENAHA SCHOOLS,GE90
TEXAS,48,4842390,TX-022004,TERLINGUA CSD,TX-022004-022004001,BIG BEND H S,GE50
TEXAS,48,4842420,TX-222901,TERRELL COUNTY ISD,TX-222901-222901001,SANDERSON SCHOOLS,GE50
TEXAS,48,4842450,TX-129906,TERRELL ISD,TX-129906-129906002,TERRELL H S,94
TEXAS,48,4842450,TX-129906,TERRELL ISD,TX-129906-129906004,TERRELL ALTERNATIVE EDUCATION CENTER/PHOENIX SCH,40-59
TEXAS,48,4842480,TX-019907,TEXARKANA ISD,TX-019907-019907002,TEXAS H S,95
TEXAS,48,4842480,TX-019907,TEXARKANA ISD,TX-019907-019907003,OPTIONS,85-89
TEXAS,48,4842510,TX-084906,TEXAS CITY ISD,TX-084906-084906001,TEXAS CITY H S,87
TEXAS,48,4842570,TX-056902,TEXLINE ISD,TX-056902-056902001,TEXLINE SCHOOL,GE80
TEXAS,48,4842630,TX-166905,THORNDALE ISD,TX-166905-166905001,THORNDALE H S,GE90
TEXAS,48,4842660,TX-246912,THRALL ISD,TX-246912-246912001,THRALL H S,GE90
TEXAS,48,4842690,TX-149902,THREE RIVERS ISD,TX-149902-149902001,THREE RIVERS JR/SR H S,GE90
TEXAS,48,4842780,TX-224901,THROCKMORTON ISD,TX-224901-224901001,THROCKMORTON SCHOOL,GE80
TEXAS,48,4842810,TX-158902,TIDEHAVEN ISD,TX-158902-158902001,TIDEHAVEN H S,80-89
TEXAS,48,4842840,TX-210905,TIMPSON ISD,TX-210905-210905001,TIMPSON H S,GE90
TEXAS,48,4842900,TX-111903,TOLAR ISD,TX-111903-111903001,TOLAR H S,GE95
TEXAS,48,4842930,TX-091918,TOM BEAN ISD,TX-091918-091918001,TOM BEAN H S,GE90
TEXAS,48,4842960,TX-101921,TOMBALL ISD,TX-101921-101921001,TOMBALL H S,96
TEXAS,48,4842960,TX-101921,TOMBALL ISD,TX-101921-101921002,TOMBALL MEMORIAL H S,98
TEXAS,48,4842990,TX-071908,TORNILLO ISD,TX-071908-071908001,TORNILLO H S,90-94
TEXAS,48,4843110,TX-221905,TRENT ISD,TX-221905-221905001,TRENT INDEPENDENT SCHOOL DISTRICT,GE50
TEXAS,48,4843140,TX-074912,TRENTON ISD,TX-074912-074912001,TRENTON H S,GE90
TEXAS,48,4843170,TX-107907,TRINIDAD ISD,TX-107907-107907001,TRINIDAD SCHOOL,GE80
TEXAS,48,4843200,TX-228903,TRINITY ISD,TX-228903-228903001,TRINITY H S,90-94
TEXAS,48,4843230,TX-212904,TROUP ISD,TX-212904-212904002,TROUP H S,GE90
TEXAS,48,4843260,TX-014910,TROY ISD,TX-014910-014910001,TROY H S,GE95
TEXAS,48,4843290,TX-001908,WESTWOOD ISD,TX-001908-001908002,WESTWOOD H S,GE95
TEXAS,48,4843320,TX-219903,TULIA ISD,TX-219903-219903001,TULIA H S,90-94
TEXAS,48,4843350,TX-178912,TULOSO-MIDWAY ISD,TX-178912-178912001,TULOSO-MIDWAY H S,GE99
TEXAS,48,4843350,TX-178912,TULOSO-MIDWAY ISD,TX-178912-178912002,TULOSO-MIDWAY ACADEMIC CAREER CENTER,GE80
TEXAS,48,4843400,TX-096905,TURKEY-QUITAQUE ISD,TX-096905-096905001,VALLEY SCHOOL,GE50
TEXAS,48,4843470,TX-212905,TYLER ISD,TX-212905-212905003,JOHN TYLER H S,94
TEXAS,48,4843470,TX-212905,TYLER ISD,TX-212905-212905001,ROBERT E LEE H S,94
TEXAS,48,4843530,TX-230908,UNION GROVE ISD,TX-230908-230908001,UNION GROVE H S,GE90
TEXAS,48,4843560,TX-230904,UNION HILL ISD,TX-230904-230904001,UNION HILL H S,GE80
TEXAS,48,4843650,TX-240903,UNITED ISD,TX-240903-240903001,UNITED H S,97
TEXAS,48,4843650,TX-240903,UNITED ISD,TX-240903-240903002,UNITED SOUTH H S,92
TEXAS,48,4843650,TX-240903,UNITED ISD,TX-240903-240903003,JOHN B ALEXANDER H S,97
TEXAS,48,4843650,TX-240903,UNITED ISD,TX-240903-240903004,UNITED STEP ACADEMY,PS
TEXAS,48,4843650,TX-240903,UNITED ISD,TX-240903-240903009,LYNDON B JOHNSON,90
TEXAS,48,4843680,TX-232904,UTOPIA ISD,TX-232904-232904001,UTOPIA SCHOOL,GE80
TEXAS,48,4843720,TX-232903,UVALDE CISD,TX-232903-232903001,UVALDE H S,88
TEXAS,48,4843740,TX-122902,VALENTINE ISD,TX-122902-122902001,VALENTINE SCHOOL,PS
TEXAS,48,4843760,TX-018904,VALLEY MILLS ISD,TX-018904-018904001,VALLEY MILLS H S,GE90
TEXAS,48,4843800,TX-108916,VALLEY VIEW ISD,TX-108916-108916001,VALLEY VIEW H S,93
TEXAS,48,4843860,TX-049903,VALLEY VIEW ISD,TX-049903-049903001,VALLEY VIEW H S,GE90
TEXAS,48,4843890,TX-091908,VAN ALSTYNE ISD,TX-091908-091908001,VAN ALSTYNE H S,GE95
TEXAS,48,4843920,TX-234906,VAN ISD,TX-234906-234906001,VAN H S,GE95
TEXAS,48,4843950,TX-158906,VAN VLECK ISD,TX-158906-158906002,VAN VLECK H S,GE95
TEXAS,48,4843980,TX-180902,VEGA ISD,TX-180902-180902001,VEGA H S,GE80
TEXAS,48,4844010,TX-126908,VENUS ISD,TX-126908-126908001,VENUS H S,GE95
TEXAS,48,4844040,TX-226908,VERIBEST ISD,TX-226908-226908001,VERIBEST H S,GE80
TEXAS,48,4844110,TX-244903,VERNON ISD,TX-244903-244903001,VERNON H S,90-94
TEXAS,48,4844150,TX-235902,VICTORIA ISD,TX-235902-235902006,LIBERTY ACADEMY,80-84
TEXAS,48,4844150,TX-235902,VICTORIA ISD,TX-235902-235902013,VICTORIA EAST H S,89
TEXAS,48,4844150,TX-235902,VICTORIA ISD,TX-235902-235902014,VICTORIA WEST H S,89
TEXAS,48,4844160,TX-181907,VIDOR ISD,TX-181907-181907001,VIDOR H S,92
TEXAS,48,4844160,TX-181907,VIDOR ISD,TX-181907-181907002,AIM CENTER H S,65-69
TEXAS,48,4844280,TX-161914,WACO ISD,TX-161914-161914002,WACO H S,82
TEXAS,48,4844280,TX-161914,WACO ISD,TX-161914-161914003,UNIVERSITY H S,90
TEXAS,48,4844280,TX-161914,WACO ISD,TX-161914-161914007,BRAZOS H S,14-Oct
TEXAS,48,4844310,TX-089905,WAELDER ISD,TX-089905-089905102,WAELDER SCHOOL,GE50
TEXAS,48,4844410,TX-226906,WALL ISD,TX-226906-226906001,WALL H S,GE95
TEXAS,48,4844410,TX-226906,WALL ISD,TX-226906-226906002,FAIRVIEW ACCELERATED,PS
TEXAS,48,4844430,TX-237904,WALLER ISD,TX-237904-237904002,WALLER H S,96
TEXAS,48,4844470,TX-008903,BRAZOS ISD,TX-008903-008903001,BRAZOS H S,GE90
TEXAS,48,4844520,TX-018905,WALNUT SPRINGS ISD,TX-018905-018905003,WALNUT SPRINGS SCHOOL,GE50
TEXAS,48,4844580,TX-229904,WARREN ISD,TX-229904-229904001,WARREN H S,GE95
TEXAS,48,4844670,TX-102903,WASKOM ISD,TX-102903-102903002,WASKOM H S,GE95
TEXAS,48,4844710,TX-226905,WATER VALLEY ISD,TX-226905-226905001,WATER VALLEY H S,GE80
TEXAS,48,4844730,TX-070912,WAXAHACHIE ISD,TX-070912-070912002,WAXAHACHIE H S,89
TEXAS,48,4844730,TX-070912,WAXAHACHIE ISD,TX-070912-070912003,WAXAHACHIE H S OF CHOICE,60-69
TEXAS,48,4844730,TX-070912,WAXAHACHIE ISD,TX-070912-070912004,WAXAHACHIE GLOBAL H S,GE95
TEXAS,48,4844800,TX-184903,WEATHERFORD ISD,TX-184903-184903001,WEATHERFORD H S,GE99
TEXAS,48,4844810,TX-240904,WEBB CISD,TX-240904-240904001,BRUNI H S,GE80
TEXAS,48,4844820,TX-045905,WEIMAR ISD,TX-045905-045905002,WEIMAR H S,GE90
TEXAS,48,4844890,TX-044902,WELLINGTON ISD,TX-044902-044902001,WELLINGTON H S,GE90
TEXAS,48,4844910,TX-223904,WELLMAN-UNION CISD,TX-223904-223904001,WELLMAN-UNION SCHOOL,GE50
TEXAS,48,4844940,TX-037909,WELLS ISD,TX-037909-037909001,WELLS H S,GE50
TEXAS,48,4844960,TX-108913,WESLACO ISD,TX-108913-108913003,SOUTH PALM GARDENS H S,80-84
TEXAS,48,4844960,TX-108913,WESLACO ISD,TX-108913-108913001,WESLACO H S,93
TEXAS,48,4844960,TX-108913,WESLACO ISD,TX-108913-108913006,WESLACO EAST H S,90
TEXAS,48,4845000,TX-100908,WEST HARDIN COUNTY CISD,TX-100908-100908001,WEST HARDIN H S,GE90
TEXAS,48,4845040,TX-161916,WEST ISD,TX-161916-161916001,WEST H S,90-94
TEXAS,48,4845090,TX-181906,WEST ORANGE-COVE CISD,TX-181906-181906001,WEST ORANGE-STARK H S,85-89
TEXAS,48,4845120,TX-178915,WEST OSO ISD,TX-178915-178915001,WEST OSO H S,90-94
TEXAS,48,4845150,TX-201914,WEST RUSK COUNTY CONSOLIDATED ISD,TX-201914-201914001,WEST RUSK H S,GE95
TEXAS,48,4845180,TX-202905,WEST SABINE ISD,TX-202905-202905002,WEST SABINE H S,GE90
TEXAS,48,4845210,TX-168903,WESTBROOK ISD,TX-168903-168903001,WESTBROOK SCHOOL,GE80
TEXAS,48,4845380,TX-241904,WHARTON ISD,TX-241904-241904001,WHARTON H S,GE95
TEXAS,48,4845420,TX-242903,WHEELER ISD,TX-242903-242903001,WHEELER SCHOOL,GE90
TEXAS,48,4845450,TX-033904,WHITE DEER ISD,TX-033904-033904001,WHITE DEER H S,GE80
TEXAS,48,4845480,TX-092908,WHITE OAK ISD,TX-092908-092908001,WHITE OAK H S,GE95
TEXAS,48,4845540,TX-220920,WHITE SETTLEMENT ISD,TX-220920-220920001,BREWER H S,92
TEXAS,48,4845570,TX-040902,WHITEFACE CISD,TX-040902-040902001,WHITEFACE H S,GE80
TEXAS,48,4845600,TX-212906,WHITEHOUSE ISD,TX-212906-212906001,WHITEHOUSE H S,91
TEXAS,48,4845630,TX-091909,WHITESBORO ISD,TX-091909-091909001,WHITESBORO H S,GE95
TEXAS,48,4845670,TX-091910,WHITEWRIGHT ISD,TX-091910-091910001,WHITEWRIGHT H S,90-94
TEXAS,48,4845690,TX-110908,WHITHARRAL ISD,TX-110908-110908001,WHITHARRAL SCHOOL,GE50
TEXAS,48,4845720,TX-109911,WHITNEY ISD,TX-109911-109911001,WHITNEY H S,GE95
TEXAS,48,4845780,TX-243905,WICHITA FALLS ISD,TX-243905-243905001,HIRSCHI H S,GE95
TEXAS,48,4845780,TX-243905,WICHITA FALLS ISD,TX-243905-243905002,RIDER H S,98
TEXAS,48,4845780,TX-243905,WICHITA FALLS ISD,TX-243905-243905004,WICHITA FALLS H S,98
TEXAS,48,4845900,TX-170904,WILLIS ISD,TX-170904-170904002,WILLIS H S,89
TEXAS,48,4845950,TX-234907,WILLS POINT ISD,TX-234907-234907002,WILLS POINT H S,90-94
TEXAS,48,4845990,TX-153907,WILSON ISD,TX-153907-153907001,WILSON SCHOOL,GE50
TEXAS,48,4846080,TX-005904,WINDTHORST ISD,TX-005904-005904001,WINDTHORST H S,GE90
TEXAS,48,4846170,TX-248902,WINK-LOVING ISD,TX-248902-248902001,WINK H S,GE80
TEXAS,48,4846200,TX-250907,WINNSBORO ISD,TX-250907-250907001,WINNSBORO H S,GE95
TEXAS,48,4846230,TX-212910,WINONA ISD,TX-212910-212910001,WINONA H S,80-89
TEXAS,48,4846260,TX-200904,WINTERS ISD,TX-200904-200904001,WINTERS H S,GE80
TEXAS,48,4846320,TX-174906,WODEN ISD,TX-174906-174906001,WODEN H S,GE90
TEXAS,48,4846350,TX-116909,WOLFE CITY ISD,TX-116909-116909001,WOLFE CITY H S,GE90
TEXAS,48,4846380,TX-196902,WOODSBORO ISD,TX-196902-196902001,WOODSBORO H S,GE90
TEXAS,48,4846410,TX-224902,WOODSON ISD,TX-224902-224902001,WOODSON SCHOOL,GE50
TEXAS,48,4846440,TX-229903,WOODVILLE ISD,TX-229903-229903001,WOODVILLE H S,90-94
TEXAS,48,4846470,TX-081905,WORTHAM ISD,TX-081905-081905002,WORTHAM H S,GE90
TEXAS,48,4846500,TX-221912,WYLIE ISD,TX-221912-221912001,WYLIE H S,GE99
TEXAS,48,4846530,TX-043914,WYLIE ISD,TX-043914-043914001,WYLIE H S,98
TEXAS,48,4846530,TX-043914,WYLIE ISD,TX-043914-043914004,ACHIEVE ACADEMY,80-84
TEXAS,48,4846530,TX-043914,WYLIE ISD,TX-043914-043914003,WYLIE EAST H S,GE99
TEXAS,48,4846590,TX-250905,YANTIS ISD,TX-250905-250905001,YANTIS SCHOOL,GE80
TEXAS,48,4846620,TX-062903,YOAKUM ISD,TX-062903-062903001,YOAKUM H S,GE95
TEXAS,48,4846650,TX-062904,YORKTOWN ISD,TX-062904-062904001,YORKTOWN H S,GE90
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905001,BEL AIR H S,93
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905002,EASTWOOD H S,92
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905007,J M HANKS H S,90
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905003,PARKLAND H S,88
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905005,RIVERSIDE H S,87
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905004,YSLETA H S,97
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905010,TEJAS SCHOOL OF CHOICE,70-79
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905008,DEL VALLE H S,93
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905033,PLATO ACADEMY,9-Jun
TEXAS,48,4846680,TX-071905,YSLETA ISD,TX-071905-071905017,VALLE VERDE EARLY COLLEGE H S,GE95
TEXAS,48,4846710,TX-253901,ZAPATA COUNTY ISD,TX-253901-253901001,ZAPATA H S,90
TEXAS,48,4846740,TX-003906,ZAVALLA ISD,TX-003906-003906001,ZAVALLA H S,GE80
TEXAS,48,4846770,TX-025906,ZEPHYR ISD,TX-025906-025906001,ZEPHYR SCHOOL,GE80
TEXAS,48,4899130,TX-066901,BENAVIDES ISD,TX-066901-066901001,BENAVIDES SECONDARY,GE80
