STNAM,FIPST,LEAID,ST_LEAID,LEANM,ST_SCHID,SCHNAM,ALL_RATE_1617
TEXAS,48,4834830,TX-227904,PFLUGERVILLE ISD,TX-227904-227904001,PFLUGERVILLE H S,96
TEXAS,48,4834830,TX-227904,PFLUGERVILLE ISD,TX-227904-227904003,JOHN B CONNALLY H S,95
TEXAS,48,4834830,TX-227904,PFLUGERVILLE ISD,TX-227904-227904004,HENDRICKSON H S,97
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909001,PSJA EARLY COLLEGE H S,97
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909003,PSJA NORTH EARLY COLLEGE H S,97
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909006,ELVIS J BALLEW H S,25-29
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909002,PSJA MEMORIAL EARLY COLLEGE H S,97
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909007,PSJA SOUTHWEST EARLY COLLEGE H S,97
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909009,PSJA THOMAS JEFFERSON T-STEM EARLY COLLEGE H S,GE95
TEXAS,48,4834860,TX-108909,PHARR-SAN JUAN-ALAMO ISD,TX-108909-108909005,PSJA SONIA M SOTOMAYOR H S,60-69
TEXAS,48,4834920,TX-061903,PILOT POINT ISD,TX-061903-061903001,PILOT POINT H S,GE95
TEXAS,48,4834980,TX-092904,PINE TREE ISD,TX-092904-092904001,PINE TREE H S,97
TEXAS,48,4834980,TX-092904,PINE TREE ISD,TX-092904-092904003,EXCEL H S OF CHOICE,60-69
TEXAS,48,4835010,TX-032902,PITTSBURG ISD,TX-032902-032902002,PITTSBURG H S,GE95
TEXAS,48,4835040,TX-251902,PLAINS ISD,TX-251902-251902001,PLAINS H S,GE90
TEXAS,48,4835070,TX-095905,PLAINVIEW ISD,TX-095905-095905002,ASH H S,65-69
TEXAS,48,4835070,TX-095905,PLAINVIEW ISD,TX-095905-095905001,PLAINVIEW H S,93
TEXAS,48,4835100,TX-043910,PLANO ISD,TX-043910-043910001,PLANO SR H S,95
TEXAS,48,4835100,TX-043910,PLANO ISD,TX-043910-043910006,PLANO EAST SR H S,97
TEXAS,48,4835100,TX-043910,PLANO ISD,TX-043910-043910010,PLANO WEST SENIOR H S,97
TEXAS,48,4835130,TX-019912,PLEASANT GROVE ISD,TX-019912-019912001,PLEASANT GROVE H S,GE95
TEXAS,48,4835190,TX-007905,PLEASANTON ISD,TX-007905-007905001,PLEASANTON H S,GE95
TEXAS,48,4835190,TX-007905,PLEASANTON ISD,TX-007905-007905005,PLEASANTON ISD SCHOOL OF CHOICE,60-69
TEXAS,48,4835250,TX-031909,POINT ISABEL ISD,TX-031909-031909001,PORT ISABEL H S,90-94
TEXAS,48,4835310,TX-061906,PONDER ISD,TX-061906-061906001,PONDER H S,GE95
TEXAS,48,4835340,TX-184901,POOLVILLE ISD,TX-184901-184901001,POOLVILLE H S,80-89
TEXAS,48,4835370,TX-178908,PORT ARANSAS ISD,TX-178908-178908001,PORT ARANSAS H S,GE90
TEXAS,48,4835400,TX-123907,PORT ARTHUR ISD,TX-123907-123907009,MEMORIAL H S,88
TEXAS,48,4835430,TX-123908,PORT NECHES-GROVES ISD,TX-123908-123908001,PORT NECHES-GROVES H S,95
TEXAS,48,4835490,TX-085902,POST ISD,TX-085902-085902001,POST H S,GE90
TEXAS,48,4835490,TX-085902,POST ISD,TX-085902-085902040,GARZA COUNTY REGIONAL JUVENILE CENTER,LT50
TEXAS,48,4835520,TX-007906,POTEET ISD,TX-007906-007906001,POTEET H S,90-94
TEXAS,48,4835550,TX-247904,POTH ISD,TX-247904-247904001,POTH H S,GE95
TEXAS,48,4835560,TX-188903,HIGHLAND PARK ISD,TX-188903-188903001,HIGHLAND PARK H S,GE95
TEXAS,48,4835570,TX-188904,BUSHLAND ISD,TX-188904-188904001,BUSHLAND H S,GE95
TEXAS,48,4835580,TX-091913,POTTSBORO ISD,TX-091913-091913001,POTTSBORO H S,GE95
TEXAS,48,4835700,TX-028906,PRAIRIE LEA ISD,TX-028906-028906001,PRAIRIE LEA SCHOOL,GE50
TEXAS,48,4835730,TX-169909,PRAIRIE VALLEY ISD,TX-169909-169909001,PRAIRIE VALLEY H S,GE50
TEXAS,48,4835740,TX-139912,PRAIRILAND ISD,TX-139912-139912001,PRAIRILAND H S,GE95
TEXAS,48,4835760,TX-125905,PREMONT ISD,TX-125905-125905001,PREMONT H S,GE80
TEXAS,48,4835800,TX-189902,PRESIDIO ISD,TX-189902-189902001,PRESIDIO H S,GE95
TEXAS,48,4835820,TX-167904,PRIDDY ISD,TX-167904-167904001,PRIDDY SCHOOL,GE50
TEXAS,48,4835850,TX-043911,PRINCETON ISD,TX-043911-043911001,PRINCETON H S,93
TEXAS,48,4835910,TX-108910,PROGRESO ISD,TX-108910-108910001,PROGRESO H S,75-79
TEXAS,48,4836000,TX-043912,PROSPER ISD,TX-043912-043912001,PROSPER H S,GE99
TEXAS,48,4836180,TX-099903,QUANAH ISD,TX-099903-099903001,QUANAH H S,GE90
TEXAS,48,4836210,TX-034907,QUEEN CITY ISD,TX-034907-034907001,QUEEN CITY H S,GE95
TEXAS,48,4836240,TX-116908,QUINLAN ISD,TX-116908-116908001,WH FORD H S,85-89
TEXAS,48,4836300,TX-250904,QUITMAN ISD,TX-250904-250904001,QUITMAN H S,GE95
TEXAS,48,4836360,TX-190903,RAINS ISD,TX-190903-190903001,RAINS H S,90-94
TEXAS,48,4836390,TX-054903,RALLS ISD,TX-054903-054903001,RALLS H S,GE90
TEXAS,48,4836390,TX-054903,RALLS ISD,TX-054903-054903002,RECOVERY EDUCATION CAMPUS,GE50
TEXAS,48,4836450,TX-015906,RANDOLPH FIELD ISD,TX-015906-015906001,RANDOLPH H S,GE95
TEXAS,48,4836480,TX-067907,RANGER ISD,TX-067907-067907001,RANGER H S,80-89
TEXAS,48,4836510,TX-231902,RANKIN ISD,TX-231902-231902001,RANKIN H S,GE50
TEXAS,48,4836540,TX-245903,RAYMONDVILLE ISD,TX-245903-245903001,RAYMONDVILLE H S,90-94
TEXAS,48,4836540,TX-245903,RAYMONDVILLE ISD,TX-245903-245903004,RAYMONDVILLE OPTIONS ACADEMIC ACADEMY,30-39
TEXAS,48,4836570,TX-192901,REAGAN COUNTY ISD,TX-192901-192901001,REAGAN COUNTY H S,80-89
TEXAS,48,4836660,TX-070911,RED OAK ISD,TX-070911-070911001,RED OAK H S,94
TEXAS,48,4836750,TX-019906,REDWATER ISD,TX-019906-019906001,REDWATER H S,GE95
TEXAS,48,4836780,TX-196903,REFUGIO ISD,TX-196903-196903001,REFUGIO H S,GE90
TEXAS,48,4836960,TX-175911,RICE ISD,TX-175911-175911001,RICE H S,GE90
TEXAS,48,4836970,TX-045903,RICE CISD,TX-045903-045903001,RICE H S,GE95
TEXAS,48,4836990,TX-093905,RICHARDS ISD,TX-093905-093905001,RICHARDS H S,GE50
TEXAS,48,4837020,TX-057916,RICHARDSON ISD,TX-057916-057916005,BERKNER H S,81
TEXAS,48,4837020,TX-057916,RICHARDSON ISD,TX-057916-057916002,LAKE HIGHLANDS H S,89
TEXAS,48,4837020,TX-057916,RICHARDSON ISD,TX-057916-057916004,PEARCE H S,92
TEXAS,48,4837020,TX-057916,RICHARDSON ISD,TX-057916-057916003,RICHARDSON H S,93
TEXAS,48,4837080,TX-206902,RICHLAND SPRINGS ISD,TX-206902-206902001,RICHLAND SPRINGS SCHOOL,GE50
TEXAS,48,4837110,TX-161912,RIESEL ISD,TX-161912-161912001,RIESEL SCHOOL,GE90
TEXAS,48,4837140,TX-214901,RIO GRANDE CITY CISD,TX-214901-214901001,RIO GRANDE CITY H S,93
TEXAS,48,4837140,TX-214901,RIO GRANDE CITY CISD,TX-214901-214901003,RIO GRANDE CITY CISD GRULLA H S,96
TEXAS,48,4837150,TX-031916,SOUTH TEXAS ISD,TX-031916-031916005,THE SCIENCE ACADEMY OF SOUTH TEXAS,GE95
TEXAS,48,4837150,TX-031916,SOUTH TEXAS ISD,TX-031916-031916001,SOUTH TEXAS BUSINESS EDUCATION & TECHNOLOGY ACADEM,GE95
TEXAS,48,4837150,TX-031916,SOUTH TEXAS ISD,TX-031916-031916003,SOUTH TEXAS ACADEMY FOR MEDICAL PROFESSIONS,GE95
TEXAS,48,4837150,TX-031916,SOUTH TEXAS ISD,TX-031916-031916004,SOUTH TEXAS H S FOR HEALTH PROFESSIONS,GE95
TEXAS,48,4837170,TX-031911,RIO HONDO ISD,TX-031911-031911001,RIO HONDO H S,GE95
TEXAS,48,4837200,TX-126907,RIO VISTA ISD,TX-126907-126907001,RIO VISTA H S,GE95
TEXAS,48,4837230,TX-067908,RISING STAR ISD,TX-067908-067908001,RISING STAR H S,GE50
TEXAS,48,4837260,TX-188902,RIVER ROAD ISD,TX-188902-188902001,RIVER ROAD H S,90-94
TEXAS,48,4837320,TX-137903,RIVIERA ISD,TX-137903-137903001,KAUFER H S,GE90
TEXAS,48,4837380,TX-041902,ROBERT LEE ISD,TX-041902-041902001,ROBERT LEE H S,GE80
TEXAS,48,4837410,TX-161922,ROBINSON ISD,TX-161922-161922001,ROBINSON H S,GE95
TEXAS,48,4837440,TX-178909,ROBSTOWN ISD,TX-178909-178909001,ROBSTOWN H S,90-94
TEXAS,48,4837470,TX-076903,ROBY CISD,TX-076903-076903001,ROBY H S,GE50
TEXAS,48,4837500,TX-160904,ROCHELLE ISD,TX-160904-160904001,ROCHELLE SCHOOL,GE50
TEXAS,48,4837590,TX-166904,ROCKDALE ISD,TX-166904-166904001,ROCKDALE H S,90-94
TEXAS,48,4837650,TX-199901,ROCKWALL ISD,TX-199901-199901001,ROCKWALL H S,98
TEXAS,48,4837650,TX-199901,ROCKWALL ISD,TX-199901-199901002,ROCKWALL QUEST ACADEMY,90-94
TEXAS,48,4837650,TX-199901,ROCKWALL ISD,TX-199901-199901004,ROCKWALL-HEATH H S,98
TEXAS,48,4837710,TX-014907,ROGERS ISD,TX-014907-014907001,ROGERS H S,GE95
TEXAS,48,4837740,TX-214903,ROMA ISD,TX-214903-214903001,ROMA H S,91
