STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4823100,TX-108905,HIDALGO ISD,482310000000,TX-108905-108905001,HIDALGO EARLY COLLEGE H S,96,9/23/2019 0:00
TEXAS,48,4823100,TX-108905,HIDALGO ISD,482310000000,TX-108905-108905002,HIDALGO ACADEMY,60,9/23/2019 0:00
TEXAS,48,4823140,TX-148903,HIGGINS ISD,482314000000,TX-148903-148903001,HIGGINS SCHOOL,50,9/23/2019 0:00
TEXAS,48,4823160,TX-084903,HIGH ISLAND ISD,482316000000,TX-084903-084903001,HIGH ISLAND SCHOOL,80,9/23/2019 0:00
TEXAS,48,4823190,TX-177905,HIGHLAND ISD,482319000000,TX-177905-177905001,HIGHLAND SCHOOL,50,9/23/2019 0:00
TEXAS,48,4823250,TX-057911,HIGHLAND PARK ISD,482325000000,TX-057911-057911001,HIGHLAND PARK H S,98,9/23/2019 0:00
TEXAS,48,4823280,TX-109904,HILLSBORO ISD,482328000000,TX-109904-109904001,HILLSBORO H S,95,9/23/2019 0:00
TEXAS,48,4823310,TX-084908,HITCHCOCK ISD,482331000000,TX-084908-084908001,HITCHCOCK H S,90,9/23/2019 0:00
TEXAS,48,4823370,TX-014905,HOLLAND ISD,482337000000,TX-014905-014905001,HOLLAND H S,95,9/23/2019 0:00
TEXAS,48,4823400,TX-005902,HOLLIDAY ISD,482340000000,TX-005902-005902001,HOLLIDAY H S,95,9/23/2019 0:00
TEXAS,48,4823430,TX-163904,HONDO ISD,482343000000,TX-163904-163904001,HONDO H S,95,9/23/2019 0:00
TEXAS,48,4823460,TX-074907,HONEY GROVE ISD,482346000000,TX-074907-074907001,HONEY GROVE H S,90,9/23/2019 0:00
TEXAS,48,4823490,TX-019902,HOOKS ISD,482349000000,TX-019902-019902002,HOOKS H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912001,AUSTIN H S,85,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912002,BELLAIRE H S,91,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912003,NORTHSIDE H S,79,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912004,FURR H S,71,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912026,DEBAKEY H S FOR HEALTH PROF,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912006,JONES FUTURES ACADEMY,85,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912007,KASHMERE H S,60,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912008,LAMAR H S,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912009,WISDOM H S,66,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912059,LONG ACADEMY,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912010,MADISON H S,71,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912011,MILBY H S,75,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912025,PERFOR & VIS ARTS H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912012,HEIGHTS H S,96,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912024,SCARBOROUGH H S,85,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912023,SHARPSTOWN H S,70,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912081,SHARPSTOWN INTERNATIONAL SCHOOL,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912014,STERLING H S,71,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912015,WALTRIP H S,79,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912016,WASHINGTON B T H S,60,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912017,WESTBURY H S,82,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912018,WHEATLEY H S,64,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912019,WORTHING H S,63,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912020,YATES H S,63,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912034,H S FOR LAW AND JUSTICE,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912013,COMMUNITY SERVICES-SEC,20,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912039,T H ROGERS SCHOOL,87,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912301,EASTWOOD ACADEMY,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912027,CHAVEZ H S,76,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912036,WESTSIDE H S,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912322,CARNEGIE VANGUARD H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912323,CHALLENGE EARLY COLLEGE H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912324,LIBERTY H S,5,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912345,EAST EARLY COLLEGE H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912348,HOUSTON ACADEMY FOR INTERNATIONAL STUDIES,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912311,MOUNT CARMEL ACADEMY,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912310,HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,89,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912321,ENERGIZED FOR STEM ACADEMY SOUTHEAST H S,80,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912308,NORTH HOUSTON EARLY COLLEGE H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912455,ENERGIZED FOR STEM ACADEMY SOUTHWEST H S,95,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912100,TEXAS CONNECTIONS ACADEMY AT HOUSTON,53,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912458,MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912477,NORTH FOREST H S,76,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912486,SOUTH EARLY COLLEGE H S,90,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912484,MIDDLE COLLEGE H S AT HCC GULFTON,35,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912485,MIDDLE COLLEGE H S AT HCC FRAGA,65,9/23/2019 0:00
TEXAS,48,4823640,TX-101912,HOUSTON ISD,482364000000,TX-101912-101912097,HCC LIFE SKILLS PROGRAM,20,9/23/2019 0:00
TEXAS,48,4823670,TX-091905,HOWE ISD,482367000000,TX-091905-091905001,HOWE H S,95,9/23/2019 0:00
TEXAS,48,4823730,TX-109905,HUBBARD ISD,482373000000,TX-109905-109905001,HUBBARD H S,90,9/23/2019 0:00
TEXAS,48,4823760,TX-072908,HUCKABAY ISD,482376000000,TX-072908-072908001,HUCKABAY SCHOOL,50,9/23/2019 0:00
TEXAS,48,4823790,TX-003902,HUDSON ISD,482379000000,TX-003902-003902001,HUDSON H S,95,9/23/2019 0:00
TEXAS,48,4823790,TX-003902,HUDSON ISD,482379000000,TX-003902-003902004,STUBBLEFIELD LRN CTR,40,9/23/2019 0:00
TEXAS,48,4823820,TX-101925,HUFFMAN ISD,482382000000,TX-101925-101925001,HARGRAVE H S,98,9/23/2019 0:00
TEXAS,48,4823850,TX-034903,HUGHES SPRINGS ISD,482385000000,TX-034903-034903001,HUGHES SPRINGS H S,95,9/23/2019 0:00
TEXAS,48,4823880,TX-146905,HULL-DAISETTA ISD,482388000000,TX-146905-146905001,HULL-DAISETTA H S,90,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913001,HUMBLE H S,92,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913002,KINGWOOD H S,94,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913008,ATASCOCITA H S,94,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913013,KINGWOOD PARK H S,95,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913014,SUMMER CREEK H S,93,9/23/2019 0:00
TEXAS,48,4823910,TX-101913,HUMBLE ISD,482391000000,TX-101913-101913005,QUEST EARLY COLLEGE H S,95,9/23/2019 0:00
TEXAS,48,4824000,TX-003904,HUNTINGTON ISD,482400000000,TX-003904-003904005,PRIDE ALTER SCH,60,9/23/2019 0:00
TEXAS,48,4824000,TX-003904,HUNTINGTON ISD,482400000000,TX-003904-003904001,HUNTINGTON H S,95,9/23/2019 0:00
TEXAS,48,4824030,TX-236902,HUNTSVILLE ISD,482403000000,TX-236902-236902002,HUNTSVILLE H S,85,9/23/2019 0:00
