STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4800074,,PINEYWOODS COMMUNITY ACADEMY,480000000000,,PINEYWOODS COMMUNITY ACADEMY H S,90,7/1/2017
TEXAS,48,4800075,,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),480000000000,,RICHARD MILBURN ALTER H S (KILLEEN),25,7/1/2017
TEXAS,48,4800076,,PRIORITY CHARTER SCHOOLS,480000000000,,PRIORITY CHARTER SCHOOLS-TEMPLE CHARTER ACADEMY,50,7/1/2017
TEXAS,48,4800080,,RADIANCE ACADEMY OF LEARNING,480000000000,,RADIANCE ACADEMY OF LEARNING (DEL RIO),80,7/1/2017
TEXAS,48,4800093,,ACADEMY FOR ACADEMIC EXCELLENCE,480000000000,,DALLAS COUNTY JUVENILE JUSTICE,87,7/1/2017
TEXAS,48,4800093,,ACADEMY FOR ACADEMIC EXCELLENCE,480000000000,,DRC CAMPUS,,7/1/2017
TEXAS,48,4800096,,FOCUS LEARNING ACADEMY,480000000000,,FOCUS LEARNING ACADEMY,90,7/1/2017
TEXAS,48,4800098,,JEAN MASSIEU ACADEMY,480000000000,,JEAN MASSIEU ACADEMY,50,7/1/2017
TEXAS,48,4800106,,PASO DEL NORTE ACADEMY CHARTER DISTRICT,480000000000,,PASO DEL NORTE ACADEMY-MESA CHARTER H S,50,7/1/2017
TEXAS,48,4800106,,PASO DEL NORTE ACADEMY CHARTER DISTRICT,480000000000,,PASEO DEL NORTE ACADEMY-VISTA DEL SOL CHARTER HIGH,40,7/1/2017
TEXAS,48,4800109,,EAST TEXAS CHARTER SCHOOLS,480000000000,,DAN CHADWICK CAMPUS,80,7/1/2017
TEXAS,48,4800115,,HOUSTON HEIGHTS HIGH SCHOOL,480000000000,,HOUSTON HEIGHTS CHARTER SCHOOL,85,7/1/2017
TEXAS,48,4800118,,HOUSTON GATEWAY ACADEMY INC,480000000000,,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,80,7/1/2017
TEXAS,48,4800124,,CALVIN NELMS CHARTER SCHOOLS,480000000000,,CALVIN NELMS H S,90,7/1/2017
TEXAS,48,4800125,,SOUTHWEST SCHOOL,480000000000,,SOUTHWEST H S,90,7/1/2017
TEXAS,48,4800125,,SOUTHWEST SCHOOL,480000000000,,PHOENIX SCHOOL AT SOUTHWEST SCHOOLS,50,7/1/2017
TEXAS,48,4800127,,COMQUEST ACADEMY,480000000000,,COMQUEST ACADEMY,80,7/1/2017
TEXAS,48,4800132,,KATHERINE ANNE PORTER SCHOOL,480000000000,,KATHERINE ANNE PORTER SCHOOL,80,7/1/2017
TEXAS,48,4800133,,MIDVALLEY ACADEMY CHARTER DISTRICT,480000000000,,MIDVALLEY ACADEMY-MERCEDES CHARTER H S,60,7/1/2017
TEXAS,48,4800133,,MIDVALLEY ACADEMY CHARTER DISTRICT,480000000000,,MIDVALLEY ACADEMY-MCALLEN CHARTER H S,40,7/1/2017
TEXAS,48,4800133,,MIDVALLEY ACADEMY CHARTER DISTRICT,480000000000,,MIDVALLEY ACADEMY-SAN BENITO CHARTER H S,70,7/1/2017
TEXAS,48,4800139,,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,480000000000,,TEKOA ACADEMY OF ACCELERATED STUDIES,60,7/1/2017
TEXAS,48,4800142,,SOUTH PLAINS ACADEMY CHARTER DISTRICT,480000000000,,SOUTH PLAINS ACADEMY CHARTER H S,70,7/1/2017
TEXAS,48,4800159,,ERATH EXCELS ACADEMY INC,480000000000,,HUSTON ACADEMY,60,7/1/2017
TEXAS,48,4800159,,ERATH EXCELS ACADEMY INC,480000000000,,SHORELINE ACADEMY,87,7/1/2017
