STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4800174,GATEWAY ACADEMY CHARTER DISTRICT,4.80017E+11,GATEWAY ACADEMY-SIERRA VISTA CHARTER H S,70-79
TEXAS,48,4800179,JUBILEE ACADEMIC CENTER,4.80018E+11,ATHLOS LEADERSHIP ACADEMY,GE90
TEXAS,48,4800184,GATEWAY CHARTER ACADEMY,4.80018E+11,GATEWAY CHARTER ACADEMY - MIDDLE - H S,GE80
TEXAS,48,4800185,ALPHA CHARTER SCHOOL,4.80019E+11,ALPHA CHARTER SCHOOL,50-59
TEXAS,48,4800195,VANGUARD ACADEMY,4.8002E+11,VANGUARD REMBRANDT,GE90
TEXAS,48,4800200,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,4.8002E+11,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,60-69
TEXAS,48,4800202,WINFREE ACADEMY CHARTER SCHOOLS,4.8002E+11,WINFREE ACADEMY CHARTER SCHOOL (RICHARDSON),30-34
TEXAS,48,4800202,WINFREE ACADEMY CHARTER SCHOOLS,4.8002E+11,WINFREE ACADEMY CHARTER SCHOOL (IRVING),35-39
TEXAS,48,4800202,WINFREE ACADEMY CHARTER SCHOOLS,4.8002E+11,WINFREE ACADEMY CHARTER SCHOOL (LEWISVILLE),40-44
TEXAS,48,4800202,WINFREE ACADEMY CHARTER SCHOOLS,4.8002E+11,WINFREE ACADEMY CHARTER SCHOOL - GRAND PRAIRIE,14-Oct
TEXAS,48,4800202,WINFREE ACADEMY CHARTER SCHOOLS,4.8002E+11,WINFREE ACADEMY NORTH RICHLAND HILLS,25-29
